pair_id,model_name,model_type,analogy_top1_accuracy,analogy_top5_accuracy,analogy_top10_accuracy,word_similarity_pearson,word_similarity_spearman,word_similarity_oov_ratio
1-6,group1.vec,original,0.0556,0.1355,0.1679,0.3556,0.3481,38.5269
1-6,group0.vec,original,0.2445,0.4703,0.5699,0.4365,0.4357,17.5637
4-3-3,group1.vec,original,0.0306,0.0794,0.0994,0.084,0.0183,76.7705
4-3-3,group0.vec,original,0.0509,0.175,0.2252,0.3077,0.3166,40.7932
3-1,group1.vec,original,0.0642,0.1927,0.2434,0.368,0.3867,30.8782
3-1,group0.vec,original,0.1189,0.314,0.4268,0.4008,0.4205,20.3966
2-1,group1.vec,original,0.1793,0.4068,0.525,0.4025,0.4217,18.1303
2-1,group0.vec,original,0.2363,0.4596,0.5674,0.3953,0.4014,17.5637
3-2,group1.vec,original,0.0642,0.1927,0.2434,0.368,0.3867,30.8782
3-2,group0.vec,original,0.0777,0.2315,0.3135,0.3709,0.4032,33.1445
4-4-4,group1.vec,original,0.0368,0.1039,0.1231,0.1839,0.1829,73.6544
4-4-4,group0.vec,original,0.0928,0.2504,0.3346,0.3957,0.4247,27.4788
4-3-2,group1.vec,original,0.0514,0.1214,0.1506,0.1665,0.137,71.1048
4-3-2,group0.vec,original,0.0509,0.175,0.2252,0.3077,0.3166,40.7932
4-1-1,group1.vec,original,0.0312,0.0729,0.1145,0.0614,0.1162,82.153
4-1-1,group0.vec,original,0.0486,0.1291,0.1573,0.3013,0.3168,37.9603
4-4-3,group1.vec,original,0.0296,0.0802,0.1103,-0.1228,-0.1269,75.6374
4-4-3,group0.vec,original,0.0928,0.2504,0.3346,0.3957,0.4247,27.4788
4-1-5,group1.vec,original,0.0158,0.0462,0.0699,0.1386,0.0522,90.085
4-1-5,group0.vec,original,0.0486,0.1291,0.1573,0.3013,0.3168,37.9603
2-4,group1.vec,original,0.1454,0.3567,0.4782,0.4143,0.4436,21.2465
2-4,group0.vec,original,0.1793,0.4068,0.525,0.4025,0.4217,18.1303
1-5,group1.vec,original,0.1683,0.4028,0.5256,0.405,0.4175,19.5467
1-5,group0.vec,original,0.2445,0.4703,0.5699,0.4365,0.4357,17.5637
0-3,group1.vec,original,0.1304,0.3396,0.4515,0.4027,0.4033,22.0963
0-3,group0.vec,original,0.2157,0.4381,0.554,0.4336,0.4285,17.5637
0-1,group1.vec,original,0.1304,0.3396,0.4515,0.4027,0.4033,22.0963
0-1,group0.vec,original,0.0621,0.1723,0.2134,0.3873,0.3865,36.8272
4-4-2,group1.vec,original,0.0562,0.1268,0.1693,0.1983,0.1687,76.4873
4-4-2,group0.vec,original,0.0928,0.2504,0.3346,0.3957,0.4247,27.4788
1-4,group1.vec,original,0.1377,0.3501,0.4716,0.425,0.432,19.83
1-4,group0.vec,original,0.2445,0.4703,0.5699,0.4365,0.4357,17.5637
1-3,group1.vec,original,0.0175,0.0581,0.0916,0.2449,0.2452,68.272
1-3,group0.vec,original,0.2824,0.509,0.6155,0.4647,0.4636,17.5637
0-4,group1.vec,original,0.1304,0.3396,0.4515,0.4027,0.4033,22.0963
0-4,group0.vec,original,0.239,0.4681,0.5815,0.3941,0.3867,17.847
4-4-5,group1.vec,original,0.0259,0.0764,0.1009,-0.0364,-0.0292,81.3031
4-4-5,group0.vec,original,0.0928,0.2504,0.3346,0.3957,0.4247,27.4788
3-3,group1.vec,original,0.0642,0.1927,0.2434,0.368,0.3867,30.8782
3-3,group0.vec,original,0.1134,0.3112,0.3998,0.4111,0.4108,26.0623
4-1-4,group1.vec,original,0.0127,0.0526,0.0944,0.1079,0.1251,90.085
4-1-4,group0.vec,original,0.0486,0.1291,0.1573,0.3013,0.3168,37.9603
4-2-3,group1.vec,original,0.0481,0.1264,0.1679,0.1485,0.0702,79.6034
4-2-3,group0.vec,original,0.0541,0.1521,0.1941,0.3215,0.3392,38.8102
4-2-4,group1.vec,original,0.0468,0.1059,0.1377,0.2828,0.2514,77.6204
4-2-4,group0.vec,original,0.0541,0.1521,0.1941,0.3215,0.3392,38.8102
4-2-1,group1.vec,original,0.0324,0.1036,0.1438,0.0735,0.0761,83.2861
4-2-1,group0.vec,original,0.0541,0.1521,0.1941,0.3215,0.3392,38.8102
4-1-3,group1.vec,original,0.0141,0.0382,0.0644,-0.352,-0.3523,84.4193
4-1-3,group0.vec,original,0.0486,0.1291,0.1573,0.3013,0.3168,37.9603
4-3-1,group1.vec,original,0.0291,0.0752,0.0962,0.1226,0.0853,68.272
4-3-1,group0.vec,original,0.0509,0.175,0.2252,0.3077,0.3166,40.7932
2-3,group1.vec,original,0.0714,0.2101,0.2681,0.2969,0.3059,33.711
2-3,group0.vec,original,0.2363,0.4596,0.5674,0.3953,0.4014,17.5637
4-4-1,group1.vec,original,0.0389,0.1072,0.1316,0.2144,0.2324,48.7252
4-4-1,group0.vec,original,0.0928,0.2504,0.3346,0.3957,0.4247,27.4788
0-2,group1.vec,original,0.1304,0.3396,0.4515,0.4027,0.4033,22.0963
0-2,group0.vec,original,0.2198,0.4495,0.5671,0.4139,0.4005,18.1303
2-2,group1.vec,original,0.1454,0.3567,0.4782,0.4143,0.4436,21.2465
2-2,group0.vec,original,0.0714,0.2101,0.2681,0.2969,0.3059,33.711
4-2-5,group1.vec,original,0.0154,0.0655,0.1117,0.2246,0.12,77.9037
4-2-5,group0.vec,original,0.0541,0.1521,0.1941,0.3215,0.3392,38.8102
1-2,group1.vec,original,0.0987,0.2956,0.3943,0.4138,0.4332,28.6119
1-2,group0.vec,original,0.2824,0.509,0.6155,0.4647,0.4636,17.5637
4-3-4,group1.vec,original,0.0392,0.1102,0.1425,0.0947,0.0615,73.9377
4-3-4,group0.vec,original,0.0509,0.175,0.2252,0.3077,0.3166,40.7932
4-1-2,group1.vec,original,0.0304,0.0938,0.1296,-0.0065,0.0062,78.187
4-1-2,group0.vec,original,0.0486,0.1291,0.1573,0.3013,0.3168,37.9603
4-2-2,group1.vec,original,0.0354,0.0892,0.1194,-0.054,-0.0055,83.2861
4-2-2,group0.vec,original,0.0541,0.1521,0.1941,0.3215,0.3392,38.8102
1-1,group1.vec,original,0.1251,0.3265,0.4353,0.3586,0.3466,24.0793
1-1,group0.vec,original,0.2824,0.509,0.6155,0.4647,0.4636,17.5637
